device__attribute_surface_alignment,512
device__attribute_tcc_driver,0
device__attribute_tensor_map_access_supported,0
device__attribute_texture_alignment,512
device__attribute_texture_pitch_alignment,32
device__attribute_total_constant_memory,"65,536"
device__attribute_total_memory,"6,43,87,80,928"
device__attribute_unified_addressing,1
device__attribute_unified_function_pointers,0
device__attribute_virtual_address_management_supported,1
device__attribute_warp_size,32
dram__bytes.avg.peak_sustained [byte/cycle],8
dram__bytes.avg.per_second [Gbyte/s],1.01
dram__bytes.max.peak_sustained [byte/cycle],8
dram__bytes.max.per_second [Gbyte/s],1.01
dram__bytes.min.peak_sustained [byte/cycle],8
dram__bytes.min.per_second [Gbyte/s],1.01
dram__bytes.sum.peak_sustained [byte/cycle],24
dram__bytes.sum.per_second [Gbyte/s],3.03
dram__bytes_read.sum [Mbyte],8.42
dram__bytes_read.sum.pct_of_peak_sustained_elapsed [%],1.58
dram__bytes_read.sum.per_second [Gbyte/s],3.03
dram__bytes_write.sum [byte],0
dram__bytes_write.sum.pct_of_peak_sustained_elapsed [%],0
dram__bytes_write.sum.per_second [byte/s],0
dram__cycles_active.avg [cycle],"3,50,885.33"
dram__cycles_active.avg.pct_of_peak_sustained_elapsed [%],1.58
dram__cycles_active.max [cycle],"3,51,072"
dram__cycles_active.max.pct_of_peak_sustained_elapsed [%],1.58
dram__cycles_active.min [cycle],"3,50,720"
dram__cycles_active.min.pct_of_peak_sustained_elapsed [%],1.58
dram__cycles_active.sum [cycle],"10,52,656"
dram__cycles_active.sum.pct_of_peak_sustained_elapsed [%],1.58
dram__cycles_elapsed.avg [cycle],"2,22,41,792"
dram__cycles_elapsed.avg.per_second [Ghz],7.99
dram__cycles_elapsed.max [cycle],"2,22,41,792"
dram__cycles_elapsed.max.per_second [Ghz],7.99
dram__cycles_elapsed.min [cycle],"2,22,41,792"
dram__cycles_elapsed.min.per_second [Ghz],7.99
dram__cycles_elapsed.sum [cycle],"6,67,25,376"
dram__cycles_elapsed.sum.per_second [Ghz],23.98
dram__sectors_read.sum [sector],"2,63,164"
dram__sectors_write.sum [sector],0
fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed [%],0.66
fbpa__dram_sectors.max.pct_of_peak_sustained_elapsed [%],0.88
fbpa__dram_sectors.min.pct_of_peak_sustained_elapsed [%],0.44
fbpa__dram_sectors.sum.pct_of_peak_sustained_elapsed [%],0.66
gcc__average_cache_request_hit_rate.pct [%],68
gcc__cache_requests_type_constant.sum [request],320
gcc__cache_requests_type_constant.sum.pct_of_peak_sustained_elapsed [%],0.00
gcc__cache_requests_type_instruction.sum [request],180
gcc__cache_requests_type_instruction.sum.pct_of_peak_sustained_elapsed [%],0.00
gcc__xbar2gcc_sectors.sum [sector],408
gcc__xbar2gcc_sectors.sum.pct_of_peak_sustained_elapsed [%],0.00
gpc__cycles_elapsed.avg [cycle],"52,14,817.67"
